Air Quality,CO,Humidity,NO2,PM10,PM2.5,Population_Density,Proximity_to_Industrial_Areas,SO2,Temperature
2,1.72,59.1,18.9,17.9,5.2,319,6.3,9.2,29.8
2,1.64,75.6,30.8,12.2,2.3,611,6.0,9.7,28.3
2,1.63,74.7,24.4,33.8,26.7,619,5.2,12.6,23.1
0,1.15,39.1,13.5,6.3,6.1,551,11.1,5.3,27.1
0,1.01,70.7,21.9,16.0,6.9,303,12.7,5.6,26.5
1,1.82,96.6,42.9,35.5,14.6,674,3.1,17.9,39.4
3,1.8,82.5,31.1,15.8,1.7,735,4.6,12.7,41.7
2,1.38,59.6,24.2,16.8,5.0,443,6.3,13.6,31.0
3,2.03,93.8,45.1,22.7,10.3,486,5.4,11.8,29.4
3,1.69,80.5,32.0,24.4,11.1,535,4.9,15.3,33.2
0,0.85,65.7,18.3,5.5,1.3,529,13.0,5.9,26.3
2,1.53,51.2,21.6,10.5,1.6,519,5.9,19.3,32.5
0,1.09,53.3,26.1,12.9,3.7,538,10.2,6.6,20.0
0,1.02,53.7,23.2,34.0,28.9,508,11.0,4.5,28.6
0,1.18,80.5,17.2,12.0,4.5,232,10.4,6.3,22.3
2,1.48,78.9,27.5,29.9,22.4,444,7.9,11.8,32.0
0,0.96,75.4,18.4,10.4,4.5,359,14.4,3.7,22.9
3,1.85,81.2,46.7,56.6,28.1,560,4.1,13.7,37.6
2,1.52,59.3,28.5,15.7,9.0,437,6.1,7.1,34.7
3,1.13,97.2,37.1,24.6,0.6,803,7.7,11.7,37.8
2,0.97,44.1,30.7,14.4,3.5,338,8.0,9.4,27.6
0,1.04,77.5,9.1,10.9,3.8,520,14.4,1.7,27.6
0,0.98,58.3,25.3,-0.2,0.4,536,10.0,4.5,25.6
0,1.03,48.4,23.3,15.4,8.3,461,11.2,4.6,24.6
0,0.94,49.9,22.9,2.0,0.5,581,17.9,2.3,26.2
0,0.93,62.1,17.6,21.3,16.4,324,11.5,4.8,22.6
0,1.09,69.2,15.3,3.9,2.0,297,10.1,5.2,30.0
3,1.85,72.2,32.2,16.6,10.1,637,3.5,6.3,37.6
0,1.03,65.6,20.6,9.3,3.4,452,10.2,2.9,29.6
1,1.78,97.9,28.1,57.3,34.6,562,3.5,22.6,44.7
0,0.96,45.2,26.6,29.0,24.0,575,10.9,5.3,23.3
3,1.85,100.2,34.4,33.2,20.5,440,5.1,11.7,35.4
0,0.91,79.6,14.5,16.8,7.1,455,10.8,6.0,21.8
0,0.98,78.9,15.3,34.1,30.2,472,11.1,3.0,27.5
0,1.32,72.2,24.9,25.0,18.5,480,13.2,6.1,28.0
0,0.96,50.0,23.5,8.4,2.3,547,10.2,3.7,22.2
3,1.75,94.4,31.4,67.1,48.3,779,4.3,23.3,30.9
3,1.7,78.9,43.7,85.2,68.9,570,8.5,13.0,39.3
3,1.48,64.9,27.2,37.0,17.3,453,5.5,14.9,24.7
2,1.4,62.8,29.7,13.2,8.7,604,8.1,15.8,27.8
0,0.92,56.5,21.0,6.9,2.6,475,11.6,3.5,17.4
0,1.18,70.1,19.7,8.1,3.1,273,12.9,5.8,18.1
0,0.89,78.1,21.3,5.2,1.1,524,10.9,6.1,25.6
0,0.92,69.3,19.6,8.4,2.2,339,10.2,3.0,22.4
2,1.59,47.4,22.4,84.8,70.7,587,13.2,8.2,25.3
0,0.82,45.3,13.7,10.1,2.8,236,10.6,4.1,27.5
2,1.45,65.1,28.0,19.3,4.1,509,6.3,14.5,32.6
1,1.95,81.2,34.2,56.5,23.4,600,3.7,27.2,33.5
3,1.57,94.1,23.7,19.0,4.2,625,6.0,6.0,48.1
2,1.29,76.7,30.1,26.9,21.4,663,7.6,17.4,31.6
2,1.49,83.5,27.0,44.4,31.5,538,5.7,-2.8,29.0
2,1.54,82.2,25.6,27.9,19.5,458,8.1,2.0,24.9
3,1.74,99.4,37.5,29.9,17.8,588,5.4,9.9,27.7
0,1.17,48.5,11.2,19.7,16.0,432,10.2,2.5,20.8
3,1.81,71.7,30.8,90.0,75.2,765,4.8,5.0,28.2
0,0.94,60.0,20.9,20.6,14.6,587,10.7,1.6,21.5
0,1.16,63.1,22.0,15.9,12.8,377,11.0,3.8,29.6
0,0.83,73.8,16.2,8.8,3.3,217,10.8,8.4,17.5
3,2.06,49.8,23.0,23.3,1.4,730,6.8,25.8,33.2
